temperature_quartile,n,temperature_mean,o3_mean,o3_median
Q1 Low,23,11.043478260869565,0.03836521739130434,0.0377
Q2,24,16.599999999999998,0.036866666666666666,0.03875
Q3,21,21.271428571428572,0.04536190476190476,0.0467
Q4 High,23,25.23913043478261,0.036,0.0368
